,Isolate,ETHIONAMIDE
60,site.06.subj.SZH_0033-14.lab.06MIL0261.iso.1,0.7269245982170105
61,site.06.subj.SZH_0030-14.lab.06MIL0258.iso.1,0.7269245982170105
62,site.06.subj.RLH_0289-14.lab.06MIL0257.iso.1,0.7269245386123657
63,site.06.subj.ATH_0079-14.lab.06MIL0248.iso.1,0.7272685766220093
64,site.06.subj.SGDH_0048-14.lab.06MIL0243.iso.1,0.7269245982170105
65,site.06.subj.JHL_0057-14.lab.06MIL0233.iso.1,0.7269245982170105
66,site.06.subj.BVH_0399-R.lab.06MIL0230.iso.1,0.22531414031982422
67,site.06.subj.SGD_0038-14.lab.06MIL0224.iso.1,0.7269245982170105
68,site.06.subj.ATH_0075-14.lab.06MIL0214.iso.1,0.7269245982170105
69,site.06.subj.MHL_0181-14.lab.06MIL0203.iso.1,0.7269245982170105
70,site.06.subj.RLH_0269-14.lab.06MIL0194.iso.1,0.7269245982170105
71,site.06.subj.SSM_0133-14.lab.06MIL0192.iso.1,0.7269245982170105
72,site.06.subj.SZH_0016-14.lab.06MIL0188.iso.1,0.7269245982170105
73,site.06.subj.PIMS_0019-14.lab.06MIL0181.iso.1,0.7269245982170105
74,site.06.subj.SSM_0130-14.lab.06MIL0180.iso.1,0.7269245982170105
75,site.06.subj.SSM_0127-14.lab.06MIL0177.iso.1,0.45649197697639465
76,site.06.subj.SSM_0128-14.lab.06MIL0176.iso.1,0.7269245982170105
77,site.06.subj.RLH_0261-14.lab.06MIL0164.iso.1,0.7269245982170105
78,site.06.subj.SSM_0247-R.lab.06MIL0149.iso.1,0.7269245982170105
79,site.06.subj.ATH_0065-14.lab.06MIL0147.iso.1,0.7269245982170105
80,site.06.subj.JHL_0030-14.lab.06MIL0143.iso.1,0.7269245982170105
81,site.06.subj.SSM_0236-R.lab.06MIL0141.iso.1,0.7269245982170105
82,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,0.3264158368110657
83,site.06.subj.RLH_0251-14.lab.06MIL0139.iso.1,0.7269245982170105
84,site.06.subj.MHL_0162-14.lab.06MIL0137.iso.1,0.7269245982170105
85,site.06.subj.MHL_0159-14.lab.06MIL0134.iso.1,0.725968599319458
86,site.06.subj.06TB_0002.lab.06MIL0463.iso.1,0.22531414031982422
87,site.06.subj.SSM_0220-R.lab.06MIL0132.iso.1,0.7269245982170105
88,site.06.subj.MHL_0166-14.lab.06MIL0129.iso.1,0.7269245982170105
89,site.06.subj.SSM_0201-R.lab.06MIL0119.iso.1,0.7269245982170105
90,site.06.subj.SGD_0011-14.lab.06MIL0111.iso.1,0.12408733367919922
91,site.06.subj.SSM_0179-R.lab.06MIL0098.iso.1,0.7269245982170105
92,site.06.subj.PIMS_0004-14.lab.06MIL0097.iso.1,0.7244316339492798
93,site.06.subj.SSM_0114-14.lab.06MIL0095.iso.1,0.7269245982170105
94,site.06.subj.ATH_0061-14.lab.06MIL0093.iso.1,0.7270340323448181
95,site.06.subj.SSM_0161-R.lab.06MIL0087.iso.1,0.7269245386123657
96,site.06.subj.SGD_0010-14.lab.06MIL0085.iso.1,0.7274342775344849
97,site.06.subj.ATH_0060-14.lab.06MIL0083.iso.1,0.00036716461181640625
98,site.06.subj.SSM_0154-R.lab.06MIL0082.iso.1,0.7269245982170105
99,site.06.subj.MHL_0150-14.lab.06MIL0075.iso.1,0.7269245982170105
100,site.06.subj.MHL_0143-14.lab.06MIL0073.iso.1,0.7269245982170105
101,site.06.subj.JHL_1344-15-R.lab.06MIL0070.iso.1,0.7269245982170105
102,site.06.subj.SSM_0109-14.lab.06MIL0066.iso.1,0.7269245982170105
103,site.06.subj.SZH_0121-15.lab.06MIL0062.iso.1,0.7269245982170105
104,site.06.subj.MHL_1323-15-R.lab.06MIL0060.iso.1,0.3264158368110657
105,site.06.subj.MHL_0146-14.lab.06MIL0051.iso.1,0.7269245982170105
106,site.06.subj.MHL_0142-14.lab.06MIL0050.iso.1,0.2278016209602356
107,site.06.subj.MHL_0135-14.lab.06MIL0048.iso.1,0.7269245982170105
108,site.06.subj.ATH_0057-14.lab.06MIL0042.iso.1,0.7269245982170105
109,site.06.subj.SSM_0108-R.lab.06MIL0040.iso.1,0.7269245982170105
110,site.06.subj.SSM_0095-R.lab.06MIL0032.iso.1,0.7269245982170105
111,site.06.subj.RLH_0091-15R.lab.06MIL0030.iso.1,0.7269245982170105
112,site.06.subj.RLH_0232-14.lab.06MIL0009.iso.1,0.225082665681839
113,site.06.subj.RLH_0234-14.lab.06MIL0008.iso.1,0.7262718677520752
114,site.06.subj.SSM_0043-R.lab.06MIL0007.iso.1,0.7269245982170105
115,site.02.subj.0002.lab.2014222005.iso.1,0.7269245982170105
116,site.02.subj.0005.lab.2014222011.iso.1,0.7269245982170105
117,site.02.subj.0006.lab.2014222013.iso.1,0.7269245982170105
118,site.02.subj.0007.lab.2014222016.iso.1,0.7269245982170105
119,site.02.subj.0008.lab.2014222017.iso.1,0.7269245982170105
120,site.02.subj.0009.lab.2014222037.iso.1,0.7269245982170105
121,site.02.subj.0011.lab.2014222046.iso.1,0.7269250154495239
122,site.02.subj.0012.lab.2014222053.iso.1,0.7269245982170105
123,site.02.subj.0013.lab.2014222055.iso.1,0.7269245982170105
124,site.02.subj.0015.lab.2014231003.iso.1,0.7269245982170105
125,site.02.subj.0016.lab.2014231005.iso.1,0.7269245982170105
126,site.02.subj.0017.lab.2014231009.iso.1,0.7269245386123657
127,site.02.subj.0018.lab.2014231011.iso.1,0.7269245386123657
128,site.02.subj.0019.lab.2014231015.iso.1,0.7269245982170105
129,site.02.subj.0020.lab.2014231019.iso.1,0.7269245982170105
130,site.02.subj.0021.lab.2014232001.iso.1,0.22531414031982422
131,site.02.subj.0022.lab.2014232005.iso.1,0.7269245982170105
132,site.02.subj.0024.lab.2014232009.iso.1,0.7269245982170105
133,site.02.subj.0025.lab.2014232010.iso.1,0.7261416912078857
134,site.02.subj.0026.lab.2014233007.iso.1,0.7264249324798584
135,site.02.subj.0028.lab.2014233011.iso.1,0.7269641757011414
136,site.02.subj.0029.lab.2014233012.iso.1,0.7269245982170105
137,site.02.subj.0031.lab.2014234024.iso.1,0.7225006818771362
138,site.02.subj.0032.lab.2014234059.iso.1,0.7269245982170105
139,site.02.subj.0033.lab.2014235050.iso.1,0.7269245982170105
140,site.02.subj.0036.lab.2014222006.iso.1,0.7269245982170105
