,Isolate,MOXIFLOXACIN
89,site.06.subj.SSM_0043-R.lab.06MIL0007.iso.1,0.7212468385696411
90,site.06.subj.MHL_0130-14.lab.06MIL0005.iso.1,0.08665269613265991
91,site.02.subj.0004.lab.2014222010.iso.1,0.7212468385696411
92,site.02.subj.0005.lab.2014222011.iso.1,0.7215133905410767
93,site.02.subj.0006.lab.2014222013.iso.1,0.7212468385696411
94,site.02.subj.0007.lab.2014222016.iso.1,0.7215133905410767
95,site.02.subj.0008.lab.2014222017.iso.1,0.7212468385696411
96,site.02.subj.0009.lab.2014222037.iso.1,0.7215133905410767
97,site.02.subj.0011.lab.2014222046.iso.1,0.7212468385696411
98,site.02.subj.0012.lab.2014222053.iso.1,0.7212468385696411
99,site.02.subj.0013.lab.2014222055.iso.1,0.7222967743873596
100,site.02.subj.0015.lab.2014231003.iso.1,0.7215133905410767
101,site.02.subj.0016.lab.2014231005.iso.1,0.7212468385696411
102,site.02.subj.0017.lab.2014231009.iso.1,0.7215133905410767
103,site.02.subj.0018.lab.2014231011.iso.1,0.7212468385696411
104,site.02.subj.0019.lab.2014231015.iso.1,0.7215133905410767
105,site.02.subj.0020.lab.2014231019.iso.1,0.7220010757446289
106,site.02.subj.0021.lab.2014232001.iso.1,0.7215133905410767
107,site.02.subj.0022.lab.2014232005.iso.1,0.7212468385696411
108,site.02.subj.0024.lab.2014232009.iso.1,0.7212468385696411
109,site.02.subj.0025.lab.2014232010.iso.1,0.7212468385696411
110,site.02.subj.0028.lab.2014233011.iso.1,0.7212468385696411
111,site.02.subj.0029.lab.2014233012.iso.1,0.7212468385696411
112,site.02.subj.0031.lab.2014234024.iso.1,0.7215133905410767
113,site.02.subj.0032.lab.2014234059.iso.1,0.7212468385696411
114,site.02.subj.0033.lab.2014235050.iso.1,0.7212468385696411
115,site.02.subj.0036.lab.2014222006.iso.1,0.7215133905410767
116,site.02.subj.0037.lab.2014251029.iso.1,0.7212468385696411
117,site.02.subj.0038.lab.2015235078.iso.1,0.7215133905410767
118,site.02.subj.0040.lab.2015235180.iso.1,0.7212468385696411
119,site.02.subj.0041.lab.2015235168.iso.1,0.7149542570114136
120,site.02.subj.0042.lab.2015231006.iso.1,0.7212468385696411
121,site.02.subj.0043.lab.2015231007.iso.1,0.7212468385696411
122,site.02.subj.0044.lab.2015231009.iso.1,0.7212468385696411
123,site.02.subj.0046.lab.2015231016.iso.1,0.7212468385696411
124,site.02.subj.0047.lab.2015231017.iso.1,0.7212468385696411
125,site.02.subj.0049.lab.2015232027.iso.1,0.7212468385696411
126,site.02.subj.0050.lab.2015232028.iso.1,0.7212468385696411
127,site.02.subj.0051.lab.22A001.iso.1,0.7210545539855957
128,site.02.subj.0053.lab.22A003.iso.1,0.03514030575752258
129,site.02.subj.0054.lab.22A004.iso.1,0.7212468385696411
130,site.02.subj.0055.lab.22A005.iso.1,0.02320551872253418
