,Isolate,ETHAMBUTOL
82,site.02.subj.0008.lab.2014222017.iso.1,0.8514547348022461
83,site.02.subj.0009.lab.2014222037.iso.1,0.8728053569793701
84,site.02.subj.0011.lab.2014222046.iso.1,0.8508851528167725
85,site.02.subj.0012.lab.2014222053.iso.1,0.8508851528167725
86,site.02.subj.0013.lab.2014222055.iso.1,0.8728053569793701
87,site.02.subj.0015.lab.2014231003.iso.1,0.8734506964683533
88,site.02.subj.0016.lab.2014231005.iso.1,0.864893913269043
89,site.02.subj.0017.lab.2014231009.iso.1,0.8728053569793701
90,site.02.subj.0020.lab.2014231019.iso.1,0.8728053569793701
91,site.02.subj.0021.lab.2014232001.iso.1,0.8728053569793701
92,site.02.subj.0022.lab.2014232005.iso.1,0.8508851528167725
93,site.02.subj.0024.lab.2014232009.iso.1,0.8508851528167725
94,site.02.subj.0025.lab.2014232010.iso.1,0.8631604909896851
95,site.02.subj.0028.lab.2014233011.iso.1,0.8508850336074829
96,site.02.subj.0029.lab.2014233012.iso.1,0.8508851528167725
97,site.02.subj.0031.lab.2014234024.iso.1,0.8508055210113525
98,site.02.subj.0032.lab.2014234059.iso.1,0.8508851528167725
99,site.02.subj.0033.lab.2014235050.iso.1,0.8508851528167725
100,site.02.subj.0036.lab.2014222006.iso.1,0.8724088668823242
101,site.02.subj.0038.lab.2015235078.iso.1,0.8734506964683533
102,site.02.subj.0040.lab.2015235180.iso.1,0.8512712121009827
103,site.02.subj.0041.lab.2015235168.iso.1,0.8494949340820312
104,site.02.subj.0042.lab.2015231006.iso.1,0.877737820148468
105,site.02.subj.0043.lab.2015231007.iso.1,0.8508851528167725
106,site.02.subj.0044.lab.2015231009.iso.1,0.8525241613388062
107,site.02.subj.0046.lab.2015231016.iso.1,0.8631604909896851
108,site.02.subj.0047.lab.2015231017.iso.1,0.8775210380554199
109,site.02.subj.0051.lab.22A001.iso.1,0.28203463554382324
110,site.02.subj.0053.lab.22A003.iso.1,0.1787036955356598
111,site.02.subj.0054.lab.22A004.iso.1,0.8505438566207886
112,site.02.subj.0055.lab.22A005.iso.1,0.13552504777908325
113,site.02.subj.0057.lab.22A007.iso.1,0.1787036955356598
114,site.02.subj.0058.lab.22A008.iso.1,0.034786731004714966
115,site.02.subj.0059.lab.22A009.iso.1,0.03530129790306091
116,site.02.subj.0061.lab.22A011.iso.1,0.1787036955356598
117,site.02.subj.0062.lab.22A012.iso.1,0.03227916359901428
118,site.02.subj.0063.lab.22A013.iso.1,0.2590017020702362
119,site.02.subj.0064.lab.22A014.iso.1,0.047866106033325195
120,site.02.subj.0065.lab.22A015.iso.1,0.14329209923744202
121,site.02.subj.0066.lab.22A016.iso.1,0.1787036955356598
122,site.02.subj.0067.lab.22A017.iso.1,0.0947081446647644
123,site.02.subj.0068.lab.22A018.iso.1,0.08906039595603943
124,site.02.subj.0069.lab.22A019.iso.1,0.13552504777908325
125,site.02.subj.0072.lab.22A023.iso.1,0.13552504777908325
126,site.02.subj.0073.lab.22A025.iso.1,0.09188911318778992
127,site.02.subj.0075.lab.22A027.iso.1,0.0899394154548645
128,site.02.subj.0076.lab.22A028.iso.1,0.12758177518844604
129,site.02.subj.0077.lab.22A029.iso.1,0.04749348759651184
130,site.02.subj.0078.lab.22A030.iso.1,0.023099929094314575
131,site.02.subj.0079.lab.22A031.iso.1,0.0947081446647644
132,site.02.subj.0080.lab.22A020.iso.1,0.0899394154548645
133,site.02.subj.0081.lab.22A032.iso.1,0.09180429577827454
134,site.02.subj.0082.lab.22A033.iso.1,0.08906039595603943
135,site.02.subj.0083.lab.22A034.iso.1,0.08906039595603943
136,site.02.subj.0084.lab.22A035.iso.1,0.8728053569793701
137,site.02.subj.0086.lab.22A038.iso.1,0.0947081446647644
138,site.02.subj.0089.lab.22A041.iso.1,0.09188911318778992
139,site.02.subj.0090.lab.22A042.iso.1,0.1787036955356598
140,site.02.subj.0091.lab.22A043.iso.1,0.1787036955356598
141,site.02.subj.0092.lab.22A044.iso.1,0.877737820148468
142,site.02.subj.0093.lab.22A045.iso.1,0.8497175574302673
143,site.02.subj.0094.lab.22A046.iso.1,0.7807818651199341
144,site.02.subj.0095.lab.22A047.iso.1,0.05366092920303345
145,site.02.subj.0096.lab.22A048.iso.1,0.08906039595603943
146,site.02.subj.0097.lab.22A049.iso.1,0.17631718516349792
147,site.02.subj.0098.lab.22A050.iso.1,0.08906039595603943
148,site.02.subj.0100.lab.22A052.iso.1,0.24248632788658142
149,site.02.subj.0101.lab.22A054.iso.1,0.8508851528167725
150,site.02.subj.0103.lab.22A056.iso.1,0.08906039595603943
151,site.02.subj.0104.lab.22A057.iso.1,0.06143847107887268
152,site.02.subj.0105.lab.22A058.iso.1,0.08228626847267151
153,site.02.subj.0106.lab.22A060.iso.1,0.17730793356895447
154,site.02.subj.0108.lab.22A062.iso.1,0.0899394154548645
155,site.02.subj.0111.lab.22A065.iso.1,0.030476003885269165
156,site.02.subj.0112.lab.22A066.iso.1,0.1473669707775116
157,site.02.subj.0114.lab.22A068.iso.1,0.0899394154548645
158,site.02.subj.0115.lab.22A069.iso.1,0.7568396329879761
159,site.02.subj.0117.lab.22A071.iso.1,0.09470805525779724
160,site.02.subj.0118.lab.22A072.iso.1,0.8508851528167725
161,site.02.subj.0119.lab.22A073.iso.1,0.0899953544139862
162,site.02.subj.0121.lab.22A075.iso.1,0.0899394154548645
163,site.02.subj.0123.lab.22A077.iso.1,0.28203463554382324
164,site.02.subj.0125.lab.22A079.iso.1,0.0899394154548645
165,site.02.subj.0127.lab.22A082.iso.1,0.0899394154548645
166,site.02.subj.0129.lab.22A084.iso.1,0.7271276712417603
167,site.02.subj.0133.lab.22A088.iso.1,0.0899394154548645
168,site.02.subj.0134.lab.22A089.iso.1,0.13552504777908325
169,site.02.subj.0137.lab.22A093.iso.1,0.0899394154548645
170,site.02.subj.0138.lab.22A094.iso.1,0.08906039595603943
171,site.02.subj.0139.lab.22A095.iso.1,0.877737820148468
172,site.02.subj.0145.lab.2013232124.iso.1,0.85700523853302
173,site.02.subj.0146.lab.2013232121.iso.1,0.8576452732086182
174,site.02.subj.0147.lab.2013232118.iso.1,0.8508851528167725
175,site.02.subj.0149.lab.2013232062.iso.1,0.877737820148468
176,site.02.subj.0150.lab.2013232061.iso.1,0.25196555256843567
177,site.02.subj.0151.lab.2013232055.iso.1,0.877737820148468
178,site.02.subj.0152.lab.2013232054.iso.1,0.877737820148468
179,site.02.subj.0154.lab.2013232052.iso.1,0.8508851528167725
180,site.02.subj.0156.lab.2013232044.iso.1,0.8778803944587708
181,site.02.subj.0157.lab.2013232029.iso.1,0.8728053569793701
182,site.02.subj.0158.lab.2013232028.iso.1,0.872735857963562
183,site.02.subj.0159.lab.2013232027.iso.1,0.8715863227844238
184,site.02.subj.0161.lab.2013232021.iso.1,0.8715863227844238
185,site.02.subj.0162.lab.2013232019.iso.1,0.8727785348892212
186,site.02.subj.0163.lab.2013232018.iso.1,0.8738640546798706
187,site.02.subj.0164.lab.2013232013.iso.1,0.8505960702896118
188,site.02.subj.0167.lab.2013232005.iso.1,0.8512306213378906
189,site.02.subj.0169.lab.2013232002.iso.1,0.877737820148468
190,site.02.subj.0171.lab.2013231104.iso.1,0.8731375336647034
191,site.02.subj.0172.lab.2013231099.iso.1,0.8508850336074829
192,site.02.subj.0173.lab.2013231098.iso.1,0.8508851528167725
193,site.02.subj.0174.lab.2013231094.iso.1,0.8731375932693481
194,site.02.subj.0175.lab.2013231090.iso.1,0.20743021368980408
195,site.02.subj.0177.lab.2013231075.iso.1,0.8775210380554199
196,site.02.subj.0178.lab.2013231063.iso.1,0.0947081446647644
197,site.02.subj.0179.lab.2013231058.iso.1,0.8508851528167725
198,site.02.subj.0180.lab.2013231057.iso.1,0.8728053569793701
