,Isolate,ISONIAZID
25,site.06.subj.JHL_0100-14.lab.06MIL0428.iso.1,0.01632791757583618
26,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.016335338354110718
27,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.976390540599823
28,site.06.subj.NHM_0310-14.lab.06MIL0423.iso.1,0.01632791757583618
29,site.06.subj.JHL_0096-14.lab.06MIL0419.iso.1,0.9765532612800598
30,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.9766563773155212
31,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.07898116111755371
32,site.06.subj.SZH_0047-14.lab.06MIL0397.iso.1,0.976704478263855
33,site.06.subj.MHL_0230-14.lab.06MIL0396.iso.1,0.016325682401657104
34,site.06.subj.MHL_0229-14.lab.06MIL0395.iso.1,0.01632791757583618
35,site.06.subj.NHM_0303-14.lab.06MIL0392.iso.1,0.01632791757583618
36,site.06.subj.BVH_0038-14.lab.06MIL0381.iso.1,0.008017301559448242
37,site.06.subj.RLH_0315-14.lab.06MIL0370.iso.1,0.01632791757583618
38,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.01632791757583618
39,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.016270995140075684
40,site.06.subj.NHM_0287-14.lab.06MIL0363.iso.1,0.976704478263855
41,site.06.subj.SZH_0042-14.lab.06MIL0358.iso.1,0.02002197504043579
42,site.06.subj.RLH_0312-14.lab.06MIL0354.iso.1,0.9724058508872986
43,site.06.subj.RLH_0313-14.lab.06MIL0353.iso.1,0.01632791757583618
44,site.06.subj.RLH_0309-14.lab.06MIL0350.iso.1,0.9724058508872986
45,site.06.subj.NHM_0290-14.lab.06MIL0347.iso.1,0.01632791757583618
46,site.06.subj.NHM_0293-14.lab.06MIL0344.iso.1,0.01632791757583618
47,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.9701749086380005
48,site.06.subj.ATH_0089-14.lab.06MIL0323.iso.1,0.9445153474807739
49,site.06.subj.SSM_0149-14.lab.06MIL0322.iso.1,0.02002197504043579
50,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.9659214019775391
51,site.06.subj.SSM_0152-14.lab.06MIL0317.iso.1,0.01637372374534607
52,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,0.9770710468292236
53,site.06.subj.SSM_0155-14.lab.06MIL0307.iso.1,0.976704478263855
54,site.06.subj.SSM_0158-14.lab.06MIL0304.iso.1,0.7469756603240967
55,site.06.subj.RLH_0305-14.lab.06MIL0297.iso.1,0.01632791757583618
