,Isolate,KANAMYCIN
41,site.06.subj.RLH_0309-14.lab.06MIL0350.iso.1,0.856346845626831
42,site.06.subj.NHM_0290-14.lab.06MIL0347.iso.1,0.856346845626831
43,site.06.subj.NHM_0293-14.lab.06MIL0344.iso.1,0.856346845626831
44,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.8553695678710938
45,site.06.subj.ATH_0089-14.lab.06MIL0323.iso.1,0.856346845626831
46,site.06.subj.SSM_0149-14.lab.06MIL0322.iso.1,0.856346845626831
47,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.856346845626831
48,site.06.subj.SSM_0152-14.lab.06MIL0317.iso.1,0.8564194440841675
49,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,0.856346845626831
50,site.06.subj.SSM_0158-14.lab.06MIL0304.iso.1,0.856207013130188
51,site.06.subj.RLH_0305-14.lab.06MIL0297.iso.1,0.8562743067741394
52,site.06.subj.PIMS_0037-14.lab.06MIL0293.iso.1,0.856346845626831
53,site.06.subj.JHL_0068-14.lab.06MIL0291.iso.1,0.8543338179588318
54,site.06.subj.JHL_0069-14.lab.06MIL0290.iso.1,0.856346845626831
55,site.06.subj.SGD_0028-14.lab.06MIL0285.iso.1,0.8561508059501648
56,site.06.subj.RLH_0304-14.lab.06MIL0282.iso.1,0.8772202134132385
57,site.06.subj.RLH_0284-14.lab.06MIL0279.iso.1,0.856346845626831
58,site.06.subj.MHL_0099-13.lab.06MIL0277.iso.1,0.8561397790908813
59,site.06.subj.RLH_0292-14.lab.06MIL0276.iso.1,0.856346845626831
60,site.06.subj.SSM_0146-14.lab.06MIL0270.iso.1,0.8572708368301392
61,site.06.subj.JHL_0061-14.lab.06MIL0267.iso.1,0.8568918108940125
62,site.06.subj.BVH_0011-14.lab.06MIL0264.iso.1,0.015632063150405884
63,site.06.subj.BVH_0018-14.lab.06MIL0263.iso.1,0.856346845626831
64,site.06.subj.SGD_0061-14.lab.06MIL0262.iso.1,0.856346845626831
65,site.06.subj.SZH_0033-14.lab.06MIL0261.iso.1,0.856346845626831
66,site.06.subj.SZH_0030-14.lab.06MIL0258.iso.1,0.856346845626831
67,site.06.subj.RLH_0289-14.lab.06MIL0257.iso.1,0.856346845626831
68,site.06.subj.ATH_0079-14.lab.06MIL0248.iso.1,0.856346845626831
69,site.06.subj.SGDH_0048-14.lab.06MIL0243.iso.1,0.856346845626831
70,site.06.subj.JHL_0057-14.lab.06MIL0233.iso.1,0.8564431071281433
71,site.06.subj.BVH_0399-R.lab.06MIL0230.iso.1,0.8563138246536255
72,site.06.subj.ATH_0068-14.lab.06MIL0226.iso.1,0.856346845626831
73,site.06.subj.SGD_0038-14.lab.06MIL0224.iso.1,0.856346845626831
74,site.06.subj.ATH_0075-14.lab.06MIL0214.iso.1,0.8606927990913391
75,site.06.subj.MHL_0181-14.lab.06MIL0203.iso.1,0.5478845238685608
76,site.06.subj.ATH_0073-14.lab.06MIL0196.iso.1,0.8563235998153687
77,site.06.subj.RLH_0269-14.lab.06MIL0194.iso.1,0.8549032211303711
78,site.06.subj.SSM_0133-14.lab.06MIL0192.iso.1,0.8606927990913391
79,site.06.subj.RLH_0264-14.lab.06MIL0191.iso.1,0.856346845626831
80,site.06.subj.SZH_0016-14.lab.06MIL0188.iso.1,0.856346845626831
81,site.06.subj.SZH_0010-14.lab.06MIL0187.iso.1,0.856346845626831
82,site.06.subj.PIMS_0019-14.lab.06MIL0181.iso.1,0.8576928377151489
83,site.06.subj.SSM_0130-14.lab.06MIL0180.iso.1,0.8742815852165222
84,site.06.subj.SSM_0127-14.lab.06MIL0177.iso.1,0.01574772596359253
85,site.06.subj.SSM_0128-14.lab.06MIL0176.iso.1,0.8606927990913391
86,site.06.subj.JHL_0054-14.lab.06MIL0172.iso.1,0.5478845238685608
87,site.06.subj.MHL_0156-14.lab.06MIL0152.iso.1,0.5497696995735168
88,site.06.subj.SSM_0247-R.lab.06MIL0149.iso.1,0.8558709025382996
89,site.06.subj.ATH_0065-14.lab.06MIL0147.iso.1,0.8559979200363159
90,site.06.subj.GDH_16999.lab.06MIL0146.iso.1,0.856346845626831
91,site.06.subj.JHL_0030-14.lab.06MIL0143.iso.1,0.8333944082260132
92,site.06.subj.SSM_0236-R.lab.06MIL0141.iso.1,0.8562743067741394
93,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,0.856346845626831
94,site.06.subj.RLH_0251-14.lab.06MIL0139.iso.1,0.856346845626831
95,site.06.subj.MHL_0162-14.lab.06MIL0137.iso.1,0.547884464263916
96,site.06.subj.MHL_0159-14.lab.06MIL0134.iso.1,0.015539884567260742
97,site.06.subj.06TB_0002.lab.06MIL0463.iso.1,0.28153955936431885
98,site.06.subj.MHL_0153-14.lab.06MIL0131.iso.1,0.856346845626831
99,site.06.subj.MHL_0166-14.lab.06MIL0129.iso.1,0.856346845626831
100,site.06.subj.SSM_0201-R.lab.06MIL0119.iso.1,0.8553695678710938
101,site.06.subj.SSM_0179-R.lab.06MIL0098.iso.1,0.856346845626831
102,site.06.subj.PIMS_0004-14.lab.06MIL0097.iso.1,0.85926353931427
103,site.06.subj.SSM_0114-14.lab.06MIL0095.iso.1,0.856346845626831
104,site.06.subj.ATH_0061-14.lab.06MIL0093.iso.1,0.856346845626831
105,site.06.subj.SGD_0012-14.lab.06MIL0092.iso.1,0.015539884567260742
106,site.06.subj.SSM_0161-R.lab.06MIL0087.iso.1,0.856346845626831
107,site.06.subj.SGD_0010-14.lab.06MIL0085.iso.1,0.856346845626831
108,site.06.subj.ATH_0060-14.lab.06MIL0083.iso.1,0.015973687171936035
109,site.06.subj.SSM_0154-R.lab.06MIL0082.iso.1,0.856346845626831
110,site.06.subj.MHL_0013-12.lab.06MIL0079.iso.1,0.856346845626831
111,site.06.subj.MHL_0150-14.lab.06MIL0075.iso.1,0.8562260866165161
