,Isolate,RIFAMPICIN
88,site.06.subj.RLH_0261-14.lab.06MIL0164.iso.1,0.024701595306396484
89,site.06.subj.MHL_0156-14.lab.06MIL0152.iso.1,0.0239621102809906
90,site.06.subj.SSM_0247-R.lab.06MIL0149.iso.1,0.9689503908157349
91,site.06.subj.GDH_16999.lab.06MIL0146.iso.1,0.9689503908157349
92,site.06.subj.JHL_0030-14.lab.06MIL0143.iso.1,0.023875296115875244
93,site.06.subj.SSM_0236-R.lab.06MIL0141.iso.1,0.9689503908157349
94,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,0.2426406741142273
95,site.06.subj.RLH_0251-14.lab.06MIL0139.iso.1,0.025240808725357056
96,site.06.subj.MHL_0162-14.lab.06MIL0137.iso.1,0.025178998708724976
97,site.06.subj.MHL_0159-14.lab.06MIL0134.iso.1,0.01815420389175415
98,site.06.subj.06TB_0002.lab.06MIL0463.iso.1,0.020187079906463623
99,site.06.subj.SSM_0220-R.lab.06MIL0132.iso.1,0.9689503908157349
100,site.06.subj.MHL_0153-14.lab.06MIL0131.iso.1,0.620059072971344
101,site.06.subj.SSM_0201-R.lab.06MIL0119.iso.1,0.9316017031669617
102,site.06.subj.SGD_0011-14.lab.06MIL0111.iso.1,0.04002538323402405
103,site.06.subj.PIMS_0004-14.lab.06MIL0097.iso.1,0.01405230164527893
104,site.06.subj.SSM_0114-14.lab.06MIL0095.iso.1,0.11365389823913574
105,site.06.subj.ATH_0061-14.lab.06MIL0093.iso.1,0.9381235241889954
106,site.06.subj.SGD_0012-14.lab.06MIL0092.iso.1,0.018020540475845337
107,site.06.subj.SGD_0010-14.lab.06MIL0085.iso.1,0.025166034698486328
108,site.06.subj.ATH_0060-14.lab.06MIL0083.iso.1,0.01882880926132202
109,site.06.subj.SSM_0154-R.lab.06MIL0082.iso.1,0.9689503908157349
110,site.06.subj.MHL_0013-12.lab.06MIL0079.iso.1,0.025155246257781982
111,site.06.subj.MHL_0150-14.lab.06MIL0075.iso.1,0.3101797103881836
112,site.06.subj.MHL_0143-14.lab.06MIL0073.iso.1,0.018920809030532837
113,site.06.subj.JHL_1344-15-R.lab.06MIL0070.iso.1,0.025115996599197388
114,site.06.subj.SSM_0109-14.lab.06MIL0066.iso.1,0.01882880926132202
115,site.06.subj.SZH_0121-15.lab.06MIL0062.iso.1,0.03972885012626648
116,site.06.subj.MHL_1323-15-R.lab.06MIL0060.iso.1,0.025155246257781982
117,site.06.subj.RLH_0237-14.lab.06MIL0052.iso.1,0.2607072591781616
118,site.06.subj.MHL_0142-14.lab.06MIL0050.iso.1,0.025349944829940796
119,site.06.subj.MHL_0135-14.lab.06MIL0048.iso.1,0.023875296115875244
120,site.06.subj.ATH_0057-14.lab.06MIL0042.iso.1,0.5730785131454468
121,site.06.subj.SSM_0108-R.lab.06MIL0040.iso.1,0.9689503908157349
122,site.06.subj.SSM_0095-R.lab.06MIL0032.iso.1,0.9316017031669617
123,site.06.subj.RLH_0091-15R.lab.06MIL0030.iso.1,0.9691077470779419
124,site.06.subj.RLH_0232-14.lab.06MIL0009.iso.1,0.024048149585723877
125,site.06.subj.RLH_0234-14.lab.06MIL0008.iso.1,0.17863360047340393
126,site.06.subj.SSM_0043-R.lab.06MIL0007.iso.1,0.9689503908157349
127,site.06.subj.MHL_0130-14.lab.06MIL0005.iso.1,0.023875325918197632
128,site.02.subj.0002.lab.2014222005.iso.1,0.9318027496337891
129,site.02.subj.0004.lab.2014222010.iso.1,0.9316017031669617
