,Isolate,LEVOFLOXACIN
89,site.06.subj.ATH_0057-14.lab.06MIL0042.iso.1,0.017901718616485596
90,site.06.subj.SSM_0108-R.lab.06MIL0040.iso.1,0.9179896116256714
91,site.06.subj.SSM_0095-R.lab.06MIL0032.iso.1,0.918127179145813
92,site.06.subj.RLH_0091-15R.lab.06MIL0030.iso.1,0.9179896116256714
93,site.06.subj.RLH_0232-14.lab.06MIL0009.iso.1,0.01786142587661743
94,site.06.subj.RLH_0234-14.lab.06MIL0008.iso.1,0.07937398552894592
95,site.06.subj.SSM_0043-R.lab.06MIL0007.iso.1,0.9179895520210266
96,site.02.subj.0002.lab.2014222005.iso.1,0.918127179145813
97,site.02.subj.0004.lab.2014222010.iso.1,0.9179896116256714
98,site.02.subj.0005.lab.2014222011.iso.1,0.918127179145813
99,site.02.subj.0006.lab.2014222013.iso.1,0.9179896116256714
100,site.02.subj.0007.lab.2014222016.iso.1,0.918127179145813
101,site.02.subj.0008.lab.2014222017.iso.1,0.9179896116256714
102,site.02.subj.0009.lab.2014222037.iso.1,0.918127179145813
103,site.02.subj.0011.lab.2014222046.iso.1,0.9179896116256714
104,site.02.subj.0012.lab.2014222053.iso.1,0.9179896116256714
105,site.02.subj.0013.lab.2014222055.iso.1,0.9192533493041992
106,site.02.subj.0015.lab.2014231003.iso.1,0.918127179145813
107,site.02.subj.0016.lab.2014231005.iso.1,0.9179896116256714
108,site.02.subj.0017.lab.2014231009.iso.1,0.918127179145813
109,site.02.subj.0018.lab.2014231011.iso.1,0.9179896116256714
110,site.02.subj.0019.lab.2014231015.iso.1,0.918127179145813
111,site.02.subj.0020.lab.2014231019.iso.1,0.9177589416503906
112,site.02.subj.0022.lab.2014232005.iso.1,0.9179896116256714
113,site.02.subj.0024.lab.2014232009.iso.1,0.9179896116256714
114,site.02.subj.0026.lab.2014233007.iso.1,0.9180217981338501
115,site.02.subj.0028.lab.2014233011.iso.1,0.9179896116256714
116,site.02.subj.0029.lab.2014233012.iso.1,0.9179896116256714
117,site.02.subj.0031.lab.2014234024.iso.1,0.918127179145813
118,site.02.subj.0032.lab.2014234059.iso.1,0.9179896116256714
119,site.02.subj.0036.lab.2014222006.iso.1,0.918127179145813
120,site.02.subj.0037.lab.2014251029.iso.1,0.9179896116256714
121,site.02.subj.0038.lab.2015235078.iso.1,0.918127179145813
122,site.02.subj.0040.lab.2015235180.iso.1,0.9179896116256714
123,site.02.subj.0041.lab.2015235168.iso.1,0.8388768434524536
124,site.02.subj.0042.lab.2015231006.iso.1,0.9179896116256714
