,0
672,IDR1600031132
673,IDR1600031133
674,IDR1600031529
675,IDR1600031534
676,IDR1600031875
677,IDR1600032077
678,IDR1600032078
679,IDR1600032334
680,IDR1600032721
681,IDR1600033122
682,IDR1600033123
683,IDR1600033125
684,IDR1600033693
685,IDR1600034035
686,IDR1600034314
687,IDR1600034869
688,IDR1600034870
689,IDR1600035065
690,IDR1600035086
691,IDR1600035148
692,IDR1600035227
693,IDR1600035377
694,IDR1600035835
695,IDR1600035837
696,IDR1600036511
697,IDR1600036513
698,IDR1600037085
699,IDR1600037096
700,IDR1600037099
701,IDR1600037187
702,IDR1600037413
703,IDR1600037626
704,IDR1600037628
705,IDR1600037632
706,IDR1600037777
707,IDR1600037778
708,IDR1600038976
709,IDR1600039182
710,IDR1600039184
711,IDR1600039759
712,IDR1600039956
713,IDR1600039993
714,IDR1600040178
715,IDR1600040333
716,IDR1600040334
717,IDR1600040335
718,IDR1600040948
719,IDR1600041271
720,IDR1600041577
721,IDR1600041578
722,IDR1600041579
723,IDR1600041936
724,IDR1600041998
725,IDR1600042261
726,IDR1600044034
727,IDR1600044037
728,IDR1600044038
729,IDR1600044262
730,IDR1600044280
731,IDR1600044301
732,IDR1600044954
733,IDR1600044955
734,IDR1600045481
735,IDR1600045994
736,IDR1600046643
737,IDR1600046655
738,IDR1600047135
739,IDR1600047584
740,IDR1600047649
741,IDR1600048331
742,IDR1600048388
743,IDR1600048617
744,IDR1600048627
745,IDR1600048632
746,IDR1600049248
747,IDR1600049307
748,IDR1600049674
749,IDR1600049832
750,IDR1600050506
751,IDR1600050510
752,IDR1600051430
753,IDR1600051431
754,IDR1600051546
755,IDR1600052366
756,IDR1600052651
757,IDR1600052673
758,IDR1600053030
759,IDR1600053034
760,IDR1600053042
761,IDR1600053044
762,IDR1600053046
763,IDR1600053047
764,IDR1600053446
765,IDR1600053447
766,IDR1600053449
767,IDR1600054127
768,IDR1600054129
769,IDR1600054265
770,IDR1600055023
771,IDR1600055074
772,IDR1600055075
773,IDR1600055553
774,IDR1600055748
775,IDR1600055996
776,IDR1600055997
777,IDR1600056424
778,IDR1600057520
779,IDR1600057546
780,IDR1600058060
781,IDR1600058226
782,IDR1600058228
783,IDR1600058231
784,IDR1600058695
785,IDR1600058701
786,NLA000000709
787,NLA000001061
788,NLA000001768
789,NLA000001969
790,NLA000016604
791,NLA000016726
792,NLA000016764
793,NLA000016985
794,NLA000017744
795,NLA000017848
796,NLA000017891
797,NLA000100143
798,NLA000100450
799,NLA000100510
800,NLA000102124
801,NLA000200052
802,NLA000200433
803,NLA000200442
804,NLA000201001
805,NLA000201244
806,NLA000202008
807,NLA000300865
808,NLA000301029
809,NLA000301067
810,NLA000301074
811,NLA000301077
812,NLA000301128
813,NLA000301359
814,NLA000301652
815,NLA000301715
816,NLA000401210
817,NLA000401230
818,NLA000401745
819,NLA000500538
820,NLA000701201
821,NLA000801694
822,NLA000801695
823,NLA000801696
824,NLA000801697
825,NLA001000120
826,NLA009400322
827,NLA009401519
828,NLA009402429
829,NLA009500011
830,NLA009500730
831,NLA009501246
832,NLA009501310
833,NLA009600108
834,NLA009600800
835,NLA009600875
836,NLA009601360
837,NLA009601659
838,NLA009601810
839,NLA009700174
840,NLA009700296
841,NLA009701444
842,NLA009701714
843,NLA009701938
844,NLA009702211
845,NLA009800926
846,NLA009801164
847,NLA009801500
848,NLA009801661
849,NLA009900180
850,NLA009900182
851,NLA009900478
852,NLA009900895
853,NLA009901267
854,NLA009901304
855,NLA009901354
856,Peru2901
857,Peru2902
858,Peru2903
859,Peru2904
860,Peru2906
861,Peru2907
862,Peru2908
863,Peru2910
864,Peru2911
865,Peru2912
866,Peru2913
867,Peru2914
868,Peru2915
869,Peru2916
870,Peru2917
871,Peru2918
872,Peru2919
873,Peru2920
874,Peru2921
875,Peru2922
876,Peru2923
877,Peru2924
878,Peru2925
879,Peru2926
880,Peru2927
881,Peru2928
882,Peru2932
883,Peru2933
884,Peru2935
885,Peru2937
886,Peru2938
887,Peru2939
888,Peru2942
889,Peru2943
890,Peru2944
891,Peru2945
892,Peru2946
893,Peru2947
894,Peru2948
895,Peru2949
896,Peru2950
897,Peru2951
898,Peru2952
899,Peru2953
900,Peru2954
901,Peru2955
902,Peru2956
903,Peru2959
904,Peru2960
905,Peru2961
906,Peru2962
907,Peru2964
908,Peru2965
909,Peru2966
910,Peru2967
911,Peru2969
912,Peru2970
913,Peru2971
914,Peru2972
915,Peru2973
916,Peru2974
917,Peru2975
918,Peru2976
919,Peru2977
920,Peru2978
921,Peru2979
922,Peru2980
923,Peru2981
924,Peru3001
925,Peru3002
926,Peru3003
927,Peru3004
928,Peru3005
929,Peru3006
930,Peru3007
931,Peru3008
932,Peru3009
933,Peru3010
934,Peru3011
935,Peru3012
936,Peru3013
937,Peru3014
938,Peru3015
939,Peru3017
940,Peru3019
941,Peru3020
942,Peru3022
943,Peru3023
944,Peru3024
945,Peru3025
946,Peru3026
947,Peru3027
948,Peru3029
949,Peru3030
950,Peru3031
951,Peru3032
952,Peru3033
953,Peru3037
954,Peru3038
955,Peru3039
956,Peru3040
957,Peru3041
958,Peru3042
959,Peru3043
960,Peru3044
961,Peru3045
962,Peru3046
963,Peru3047
964,Peru3048
965,Peru3049
966,Peru3052
967,Peru3054
968,Peru3055
969,Peru3056
970,Peru3057
971,Peru3058
972,Peru3059
973,Peru3060
974,Peru3061
975,Peru3062
976,Peru3063
977,Peru3064
978,Peru3066
979,Peru3067
980,Peru3068
981,Peru3069
982,Peru3070
983,Peru3253
984,Peru3255
985,Peru3257
986,Peru3258
987,Peru3259
988,Peru3260
989,Peru3261
990,Peru3262
991,Peru3263
992,Peru3264
993,Peru3265
994,Peru3266
995,Peru3267
996,Peru3268
997,Peru3269
998,Peru3270
999,Peru3271
1000,Peru3272
1001,Peru3274
1002,Peru3275
1003,Peru3276
1004,Peru3277
1005,Peru3278
1006,Peru3279
1007,Peru3281
1008,Peru3282
1009,Peru3283
1010,Peru3284
1011,Peru3285
1012,Peru3286
1013,Peru3287
1014,Peru3288
1015,Peru3289
1016,Peru3290
1017,Peru3291
1018,Peru3292
1019,Peru3293
1020,Peru3294
1021,Peru3295
1022,Peru3296
1023,Peru3297
1024,Peru3298
1025,Peru3299
1026,Peru3300
1027,Peru3301
1028,Peru3302
1029,Peru3303
1030,Peru3304
1031,Peru3305
1032,Peru3306
1033,Peru3307
1034,Peru3308
1035,Peru3309
1036,Peru3311
1037,Peru3312
1038,Peru3313
1039,Peru3314
1040,Peru3315
1041,Peru3316
1042,Peru3317
1043,Peru3318
1044,Peru3319
1045,Peru3320
1046,Peru3321
1047,Peru3322
1048,Peru3323
1049,Peru3324
1050,Peru3325
1051,Peru3326
1052,Peru3327
1053,Peru3328
1054,Peru3329
1055,Peru3330
1056,Peru3331
1057,Peru3332
1058,Peru3333
1059,Peru3334
1060,Peru3335
1061,Peru3338
1062,Peru3339
1063,Peru3340
1064,Peru3341
1065,Peru3342
1066,Peru3344
1067,Peru3345
1068,Peru3346
1069,Peru3347
1070,Peru3348
1071,Peru3349
1072,Peru3350
1073,Peru3351
1074,Peru3352
1075,Peru3353
1076,Peru3354
1077,Peru3356
1078,Peru3357
1079,Peru3358
1080,Peru3359
1081,Peru3361
1082,Peru3362
1083,Peru3363
1084,Peru3365
1085,Peru3366
1086,Peru3367
1087,Peru3368
1088,Peru3369
1089,Peru3370
1090,Peru3371
1091,Peru3372
1092,Peru3373
1093,Peru3375
1094,Peru3376
1095,Peru3377
1096,Peru3378
1097,Peru3379
1098,Peru3380
1099,Peru3381
1100,Peru3382
1101,Peru3383
1102,Peru3384
1103,Peru3385
1104,Peru3386
1105,Peru3387
1106,Peru3388
1107,Peru3390
1108,Peru3392
1109,Peru3393
1110,Peru3395
1111,Peru3396
1112,Peru3397
1113,Peru3398
1114,Peru3399
1115,Peru3400
1116,Peru3401
1117,Peru3402
1118,Peru3403
1119,Peru3404
1120,Peru3405
1121,Peru3406
1122,Peru3407
1123,Peru3408
1124,Peru3410
1125,Peru3411
1126,Peru3412
1127,Peru3413
1128,Peru3414
